Gender,Age,YearsCodePro,Country,Salary,EdLevel
Man,22.0,4.0,United Kingdom,32315.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,23.0,2.0,United Kingdom,40070.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,49.0,7.0,Spain,14268.0,Some college/university study without earning a degree
Man,53.0,20.0,Netherlands,38916.0,Secondary school (if completed)
Man,27.0,1.0,United States,66000.0,Associate degree / technical diploma
Man,45.0,23.0,United Kingdom,108576.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,25.0,3.0,United States,79000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,24.0,3.0,United States,83400.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,45.0,20.0,Germany,91883.0,"Professional degree (e.g., JD, MD)"
Man,,10.0,Canada,71093.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,,2.0,United Kingdom,38778.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,31.0,10.0,Canada,31764.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,39.0,14.0,Belgium,63564.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,34.0,3.0,United Kingdom,77556.0,Some college/university study without earning a degree
Man,35.0,12.0,Italy,97288.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
,,20.0,United States,106000.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,32.0,6.0,Brazil,55893.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,22.0,2.0,France,36753.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,24.0,4.0,France,37834.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,53.0,28.0,United Kingdom,74970.0,PhD or other doctoral degree
Man,23.0,4.0,United States,52000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
,,7.0,Canada,103615.0,Some college/university study without earning a degree
Man,28.0,6.0,United Kingdom,90482.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,38.0,15.0,Brazil,16488.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,34.0,13.0,United Kingdom,94359.0,Some college/university study without earning a degree
Man,25.0,6.0,United Kingdom,23913.0,
Man,28.0,7.0,Canada,37816.0,
Man,32.0,7.0,United States,94500.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,20.0,1.0,Poland,3036.0,Secondary school (if completed)
Man,26.0,3.0,France,108100.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,28.0,2.0,Indonesia,61476.0,Some college/university study without earning a degree
Man,31.0,10.0,France,57292.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,42.0,15.0,Greece,21620.0,PhD or other doctoral degree
Man,21.0,2.0,Canada,37816.0,Some college/university study without earning a degree
Man,,25.0,Canada,71850.0,Some college/university study without earning a degree
Man,29.0,2.0,Israel,35028.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Woman,30.0,4.0,Canada,75631.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,29.0,5.0,Czech Republic,41568.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
,30.0,9.0,Canada,79413.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
"Non-binary, genderqueer, or gender non-conforming",42.0,11.0,United States,93000.0,Associate degree / technical diploma
Man,28.0,1.0,United States,40000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,24.0,3.0,Germany,46044.0,"Professional degree (e.g., JD, MD)"
Man,28.0,3.0,United States,65000.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,23.0,2.0,United States,78800.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,24.0,6.0,Germany,61616.0,Associate degree / technical diploma
Man,23.0,5.0,United Kingdom,109871.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,38.0,19.0,United States,0.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Woman,23.0,4.0,United States,80000.0,Some college/university study without earning a degree
Man,38.0,4.0,Spain,15564.0,Primary/elementary school
Man,,5.0,Bulgaria,24864.0,Some college/university study without earning a degree
Woman,30.0,8.0,United States,45000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,27.0,1.0,United States,53000.0,Associate degree / technical diploma
Man,25.0,5.0,United States,97500.0,Some college/university study without earning a degree
Man,32.0,10.0,United States,75000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,26.0,3.0,United Kingdom,32315.0,Secondary school (if completed)
Man,33.0,12.0,Sweden,59320.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,28.0,3.0,Canada,37816.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,34.0,6.0,Germany,54480.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,35.0,8.0,Ukraine,9792.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,30.0,3.0,United States,90000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,43.0,12.0,United States,80000.0,Associate degree / technical diploma
Man,26.0,4.0,Canada,64287.0,Associate degree / technical diploma
Man,24.0,4.0,Netherlands,36324.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,38.0,12.0,Canada,100000.0,Some college/university study without earning a degree
Man,30.0,14.0,United States,80000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,28.0,6.0,Germany,48644.0,PhD or other doctoral degree
Man,22.0,5.0,Canada,41597.0,"Professional degree (e.g., JD, MD)"
Man,31.0,8.0,Hungary,29628.0,Some college/university study without earning a degree
Man,51.0,24.0,Canada,60505.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,22.0,2.0,United States,70000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,27.0,3.0,Netherlands,41100.0,Primary/elementary school
Man,26.0,6.0,United States,80000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,34.0,7.0,Germany,34591.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,29.0,7.0,Germany,59454.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,31.0,2.0,Other,28536.0,Some college/university study without earning a degree
Man,43.0,18.0,Canada,94539.0,PhD or other doctoral degree
,30.0,3.0,France,52968.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,26.0,8.0,United States,83450.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,53.0,32.0,United States,105000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,23.0,1.0,United States,90000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,35.0,9.0,United States,90000.0,PhD or other doctoral degree
Man,40.0,10.0,Romania,27240.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,60.0,35.0,Italy,21620.0,Some college/university study without earning a degree
"Non-binary, genderqueer, or gender non-conforming",34.0,5.0,United States,80000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,32.0,10.0,Germany,81074.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,,4.0,France,41077.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,32.0,2.0,United States,99600.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,29.0,4.0,Canada,87732.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,22.0,1.0,France,28152.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,24.0,2.0,France,48644.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,29.0,2.0,United States,65000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,44.0,20.0,Portugal,58368.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,30.0,3.0,United Kingdom,44595.0,Some college/university study without earning a degree
Man,24.0,2.0,India,11728.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,23.0,1.0,United States,80000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,35.0,11.0,United States,100000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,35.0,15.0,Portugal,54049.0,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
Man,26.0,6.0,United States,65000.0,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
Man,26.0,6.0,Mexico,29088.0,Some college/university study without earning a degree
Man,,2.0,United States,0.0,Secondary school (if completed)
Man,28.0,7.0,United States,65000.0,Some college/university study without earning a degree
Man,28.0,3.0,Brazil,8244.0,Some college/university study without earning a degree
